,MttWebAus_cummulative,MTTWebExpDE_cummulative,MTTWebExpES_cummulative,MTTWebExpFR_cummulative,MTTWebExpIN_cummulative,MTTWebExpIT_cummulative,MTTWebExpJP_cummulative,MTTWebExpNL_cummulative,MTTWebExpNZ_cummulative,MTTWebExpUK_cummulative,MTTWebExpUS_cummulative,MTTWebIPL_cummulative,MTTWebPL_cummulative
2005-01-01,0,22143,0,98388,0,15713,0,3452,0,94754,698208,69903,174170
2005-04-01,0,44374,0,219150,0,34560,0,6672,0,173476,1368668,132831,319863
2005-07-01,3,66466,0,334686,0,52537,0,10359,0,247170,1994556,194786,474141
2005-10-01,1114,84230,0,448508,0,73733,0,13911,0,303624,2524716,251274,577489
2006-01-01,4598,109591,0,580252,0,97935,0,18353,0,388780,3263102,335851,701006
2006-04-01,8288,132769,0,737785,0,122639,0,22716,0,456017,3931532,408988,810613
2006-07-01,13271,163261,0,864458,0,146275,0,28635,0,530550,4588843,485928,914283
2006-10-01,18326,189646,0,1039196,2,169396,0,34240,0,589229,5150891,562414,1093803
2007-01-01,27179,225595,6,1216206,6,198547,2,40238,0,683270,5706720,673027,1375263
2007-04-01,37737,258958,5885,1430676,10,234216,2,45585,0,765875,6293096,821474,1611745
2007-07-01,48091,297624,11898,1630980,11,271824,2,51720,20,852189,6878159,998904,1830915
2007-10-01,57985,328249,15789,1803599,31,303489,2,56817,2109,917139,7388498,1156915,2021497
2008-01-01,72792,371987,20315,2005286,921,337190,5,63965,5925,1000237,8065510,1352703,2274289
2008-04-01,88946,407321,25463,2212732,2566,371799,5,70452,10681,1075148,8738421,1519917,2499059
2008-07-01,110666,443971,26765,2383878,4165,404158,563,78213,18208,1154557,9389953,1683398,2707959
2008-10-01,129494,471119,27503,2538508,5415,427489,5548,83940,26695,1209723,9910562,1783050,2881322
2009-01-01,157061,510012,28748,2780888,7113,455458,11296,93721,37788,1293554,10780346,1902483,3124413
2009-04-01,195537,560603,30592,3013793,9327,488607,18160,102816,52366,1372257,11798166,2017901,3343334
2009-07-01,238051,612878,32566,3245369,11532,522508,26165,113436,67685,1462697,12798060,2158925,3547270
2009-10-01,276071,652850,34128,3282679,13908,550997,34278,120947,81359,1522926,13596556,2269004,3723510
2010-01-01,325858,705231,36399,3326609,16857,585640,44326,130985,98144,1611742,14666260,2435173,4003997
2010-04-01,377227,752875,39205,3362074,20450,619189,54498,138746,116656,1686777,15940117,2590090,4237596
2010-07-01,431658,799497,42629,3394216,24254,670516,66856,146973,136648,1765342,16995184,2765196,4436379
2010-10-01,478069,827839,45094,3418722,28651,722941,82741,152315,154705,1817220,17832645,2892570,4601254
2011-01-01,548078,871673,48475,3451974,34838,797458,120527,161409,184368,1903647,18860161,3077832,4792037
2011-04-01,651020,911128,55228,3477472,43801,1187778,174508,168790,236474,1981974,20167228,3204536,4945847
2011-07-01,757175,942630,63702,3503551,52800,1316874,239305,176865,312621,2072505,21441951,3313948,5068115
2011-10-01,852423,987112,71081,3535882,63261,1427296,288824,186772,422833,2178121,22741748,3398240,5152645
2012-01-01,987633,1200585,93122,3757393,99471,1538595,392441,210928,574598,2482252,26444491,3545755,5320613
2012-04-01,1129645,1362335,123026,3959125,152177,1637596,517297,236010,741885,2767911,30442700,3678439,5473697
2012-07-01,1286953,1537796,158036,4160652,195230,1763500,657204,266745,922335,3119619,34647944,3814115,5610495
2012-10-01,1436940,1702928,178200,4324966,242117,1870804,777887,288233,1430090,3396415,38580240,3912335,5694729
2013-01-01,2603264,2524625,446227,5071835,1291552,2490221,1515406,403088,2798228,4886221,58531697,5253860,5932076
2013-04-01,3743731,3341202,775858,5900862,2459028,3114613,2361360,530595,4208764,6355073,78915331,6534444,6238797
2013-07-01,5401903,4595259,3491097,6926256,3499142,4086487,3351396,784220,5970725,9004438,107571028,8165800,6527005
2013-10-01,6838279,5827315,4312501,8077134,5354474,4908885,4695577,1006823,9504699,11517041,135492736,9718914,6733073
2014-01-01,8504354,7600810,7063458,9561801,7486165,6075893,6515773,1357091,34349659,15710735,172789056,11582093,7063776
2014-04-01,10560907,10009918,9894837,11304519,9675541,8105289,8887661,1884340,55182648,20773720,221649053,14186463,7461385
2014-07-01,13329678,14249675,12801127,15568058,12733783,13245221,12395003,2514625,81552593,27811829,283072762,20842782,7855273
2014-10-01,15687775,19677294,15337697,17736453,14708024,16628723,15948894,3034893,104112351,33184192,343983317,25772026,8092731
2015-01-01,18444526,26222860,18627513,21322833,16807073,21967663,20365475,4364225,133103300,39625066,397799094,33491308,8750838
2015-04-01,25680306,31040858,20517860,23286336,18930302,23940280,25480135,4905040,160567071,44366628,449821585,35280040,9654481
2015-07-01,38658847,35763627,22681897,25330967,21481110,26247566,32416575,5341198,190819056,50145121,507423498,37152529,11052164
2015-10-01,50504404,42120986,23964130,27185785,23682196,27864877,39138385,5637559,223112519,56459143,556915886,38286862,43535042
2016-01-01,65441585,51189181,25661129,29425961,25150653,29599984,47147930,6067290,261005014,65012907,608250537,39354409,52099106
2016-04-01,84878037,56547238,27176647,31662354,27318637,31588313,58206907,6485461,307849083,74486210,661639465,50876883,80102284
2016-07-01,102622314,59456025,28462653,33577934,29347532,33874181,67664611,6969293,361502862,81789458,734675232,56569819,97939627
2016-10-01,121710309,62579269,30163527,35477869,31919070,36072613,77029758,7366025,413592966,88620644,798704707,64911905,110852360
2017-01-01,141293209,65814692,31690115,37648817,35145147,38062450,86975990,7867315,465437795,95856868,876454032,75398161,128325957
2017-04-01,158690511,68870784,33246366,39884750,43131981,40159571,97078649,8387979,513338790,102696651,937797706,83679384,143963930
2017-07-01,179133574,72749382,36016706,44562410,48162433,43924874,109335736,8981508,562622219,113488628,969716821,93438986,157446934
2017-10-01,192815889,76379244,38199252,48076189,50566082,47473182,122531646,9427562,605726142,123201316,986637694,102376523,169964096
2018-01-01,196996415,78087689,39494564,50404498,50963534,48993871,124675107,9635705,617719939,127495655,1001232529,104861918,179494294
2018-04-01,199360547,78946050,40242921,51229971,51104309,49891627,125428254,9755765,623450660,129331597,1013151289,106208941,183719978
2018-07-01,200249147,79792455,40509200,51755341,51224887,50413892,126322877,9896123,628092527,130870236,1025147342,107146954,188677080
2018-10-01,201098896,80517027,40789152,52251460,51360795,51192289,127281097,10024821,633581788,132086622,1037369720,107995226,194633135
2019-01-01,202021898,81984765,41091280,52884209,51753008,51627613,128481495,10178486,639557771,133528157,1052948317,108999421,201050505
2019-04-01,203516660,87790462,41443229,53672992,53757610,52660174,129868318,10336693,647579115,134960817,1080343800,109846952,207278912
2019-07-01,204956950,92051861,41709829,54258532,55573162,53285974,131193476,10471445,655832791,136106637,1110513578,110538221,213980070
2019-10-01,204956950,92051861,41709829,54258532,55573162,53285974,131193476,10471445,655832791,136106637,1110513578,110538221,213980070
